
  0% | 0/20 | ?it/s
T50/51, E88/160 => nca: 0.041, flat: 0.22, pod: 3.306, loss: 3.567: :   5% | 1/20 |  4.97it/s 
T50/51, E88/160 => nca: 0.041, flat: 0.22, pod: 3.306, loss: 3.567: :  10% | 2/20 |  5.03it/s
T50/51, E88/160 => nca: 0.047, flat: 0.234, pod: 3.359, loss: 3.64: :  10% | 2/20 |  5.03it/s
T50/51, E88/160 => nca: 0.047, flat: 0.234, pod: 3.359, loss: 3.64: :  15% | 3/20 |  5.10it/s
T50/51, E88/160 => nca: 0.049, flat: 0.23, pod: 3.338, loss: 3.617: :  15% | 3/20 |  5.10it/s
T50/51, E88/160 => nca: 0.049, flat: 0.23, pod: 3.338, loss: 3.617: :  20% | 4/20 |  5.13it/s
T50/51, E88/160 => nca: 0.057, flat: 0.233, pod: 3.346, loss: 3.636: :  20% | 4/20 |  5.13it/s
T50/51, E88/160 => nca: 0.057, flat: 0.233, pod: 3.346, loss: 3.636: :  25% | 5/20 |  5.13it/s
T50/51, E88/160 => nca: 0.057, flat: 0.229, pod: 3.286, loss: 3.572: :  25% | 5/20 |  5.13it/s
T50/51, E88/160 => nca: 0.057, flat: 0.229, pod: 3.286, loss: 3.572: :  30% | 6/20 |  5.11it/s
T50/51, E88/160 => nca: 0.058, flat: 0.227, pod: 3.234, loss: 3.518: :  30% | 6/20 |  5.11it/s
T50/51, E88/160 => nca: 0.058, flat: 0.227, pod: 3.234, loss: 3.518: :  35% | 7/20 |  5.16it/s
T50/51, E88/160 => nca: 0.06, flat: 0.228, pod: 3.208, loss: 3.495: :  35% | 7/20 |  5.16it/s 
T50/51, E88/160 => nca: 0.06, flat: 0.228, pod: 3.208, loss: 3.495: :  40% | 8/20 |  5.18it/s
T50/51, E88/160 => nca: 0.058, flat: 0.226, pod: 3.217, loss: 3.501: :  40% | 8/20 |  5.18it/s
T50/51, E88/160 => nca: 0.058, flat: 0.226, pod: 3.217, loss: 3.501: :  45% | 9/20 |  5.14it/s
T50/51, E88/160 => nca: 0.057, flat: 0.225, pod: 3.2, loss: 3.482: :  45% | 9/20 |  5.14it/s  
T50/51, E88/160 => nca: 0.057, flat: 0.225, pod: 3.2, loss: 3.482: :  50% | 10/20 |  5.12it/s
T50/51, E88/160 => nca: 0.055, flat: 0.225, pod: 3.179, loss: 3.46: :  50% | 10/20 |  5.12it/s
T50/51, E88/160 => nca: 0.055, flat: 0.225, pod: 3.179, loss: 3.46: :  55% | 11/20 |  5.15it/s
T50/51, E88/160 => nca: 0.055, flat: 0.225, pod: 3.19, loss: 3.471: :  55% | 11/20 |  5.15it/s
T50/51, E88/160 => nca: 0.055, flat: 0.225, pod: 3.19, loss: 3.471: :  60% | 12/20 |  5.18it/s
T50/51, E88/160 => nca: 0.055, flat: 0.224, pod: 3.196, loss: 3.475: :  60% | 12/20 |  5.18it/s
T50/51, E88/160 => nca: 0.055, flat: 0.224, pod: 3.196, loss: 3.475: :  65% | 13/20 |  5.16it/s
T50/51, E88/160 => nca: 0.057, flat: 0.222, pod: 3.193, loss: 3.472: :  65% | 13/20 |  5.16it/s
T50/51, E88/160 => nca: 0.057, flat: 0.222, pod: 3.193, loss: 3.472: :  70% | 14/20 |  5.10it/s
T50/51, E88/160 => nca: 0.057, flat: 0.22, pod: 3.192, loss: 3.469: :  70% | 14/20 |  5.10it/s 
T50/51, E88/160 => nca: 0.057, flat: 0.22, pod: 3.192, loss: 3.469: :  75% | 15/20 |  5.09it/s
T50/51, E88/160 => nca: 0.058, flat: 0.22, pod: 3.185, loss: 3.462: :  75% | 15/20 |  5.09it/s
T50/51, E88/160 => nca: 0.058, flat: 0.22, pod: 3.185, loss: 3.462: :  80% | 16/20 |  5.13it/s
T50/51, E88/160 => nca: 0.058, flat: 0.219, pod: 3.192, loss: 3.469: :  80% | 16/20 |  5.13it/s
T50/51, E88/160 => nca: 0.058, flat: 0.219, pod: 3.192, loss: 3.469: :  85% | 17/20 |  5.16it/s
T50/51, E88/160 => nca: 0.057, flat: 0.22, pod: 3.191, loss: 3.468: :  85% | 17/20 |  5.16it/s 
T50/51, E88/160 => nca: 0.057, flat: 0.22, pod: 3.191, loss: 3.468: :  90% | 18/20 |  5.17it/s
T50/51, E88/160 => nca: 0.057, flat: 0.22, pod: 3.191, loss: 3.467: :  90% | 18/20 |  5.17it/s
T50/51, E88/160 => nca: 0.057, flat: 0.22, pod: 3.191, loss: 3.467: :  95% | 19/20 |  5.19it/s
T50/51, E88/160 => nca: 0.056, flat: 0.231, pod: 3.268, loss: 3.555: :  95% | 19/20 |  5.19it/s
T50/51, E88/160 => nca: 0.056, flat: 0.231, pod: 3.268, loss: 3.555: : 100% | 20/20 |  5.77it/s
T50/51, E88/160 => nca: 0.056, flat: 0.231, pod: 3.268, loss: 3.555: : 100% | 20/20 |  5.24it/s

  0% | 0/20 | ?it/s
T50/51, E89/160 => nca: 0.056, flat: 0.23, pod: 3.634, loss: 3.92: :   0% | 0/20 | ?it/s
T50/51, E89/160 => nca: 0.056, flat: 0.23, pod: 3.634, loss: 3.92: :   5% | 1/20 |  5.19it/s
T50/51, E89/160 => nca: 0.057, flat: 0.214, pod: 3.51, loss: 3.782: :   5% | 1/20 |  5.19it/s
T50/51, E89/160 => nca: 0.057, flat: 0.214, pod: 3.51, loss: 3.782: :  10% | 2/20 |  5.19it/s
